,0
255,181.66815
256,245.38986
257,365.17786
258,970.5586
259,1449.6385
260,329.56857
261,341.94022
262,753.4508
263,235.02621
264,855.0217
265,441.56097
266,305.24805
267,1468.1288
268,467.62256
269,176.51361
270,1087.0513
271,428.19562
272,807.5602
273,280.89557
274,419.72256
275,301.28168
276,281.01132
277,474.95337
278,538.65137
279,981.8318
280,287.30853
281,1289.9447
282,503.68344
283,339.18823
284,789.7451
285,865.5769
286,339.5642
287,169.7814
288,468.04346
289,501.67307
290,1372.8154
291,257.3319
292,370.3067
293,334.42673
294,677.7018
295,853.77893
296,874.81287
297,821.3506
298,420.8119
299,374.29016
300,1307.5273
301,398.54694
302,273.63257
303,1460.4272
304,166.32083
305,235.21298
306,945.774
307,1171.8956
308,912.08203
309,945.343
310,310.14505
311,333.23465
312,964.1052
313,106.46237
314,348.03464
315,1108.5245
316,934.5509
317,1152.6447
318,702.95264
319,1053.3418
320,1315.462
321,888.2384
322,1002.0165
323,269.3047
324,1114.9304
325,1144.4454
326,723.3038
327,720.11676
328,177.64728
329,317.8991
330,807.8024
331,704.8812
332,1206.4783
333,361.9551
334,262.32846
335,1109.4415
336,345.28384
337,254.95871
338,372.3208
339,149.45728
340,365.87958
341,917.0186
342,600.7882
343,1353.9287
344,188.5332
345,210.87488
346,470.11194
347,1338.7925
348,600.36017
349,277.88287
350,132.81084
351,736.57135
352,359.52905
353,1484.411
354,991.02814
355,509.64398
356,1127.1547
357,119.38944
358,826.3506
359,489.6916
360,1438.7953
361,768.2166
362,994.2815
363,355.89825
364,683.08923
365,1676.7655
366,642.0106
367,500.80518
368,876.2339
369,889.6229
370,1118.5669
371,862.51917
372,600.6512
373,586.8732
374,892.27704
375,854.6074
376,1206.8419
377,243.03207
378,159.9502
379,542.19946
380,1569.3555
381,360.24158
382,1224.5238
383,1104.2269
384,327.3401
385,703.3833
386,628.06586
387,356.02405
388,354.22858
389,769.15314
390,1101.4412
391,690.8832
392,420.27838
393,538.81055
394,157.74908
395,352.65314
396,335.00095
397,1597.8055
398,346.4176
399,870.62036
400,520.7654
401,348.73193
402,242.79144
403,160.07147
404,1087.6764
405,612.82104
406,474.98276
407,1252.7833
408,829.8496
409,433.65512
410,414.47803
411,454.25937
412,638.8888
413,473.21814
414,395.57794
415,180.5242
416,317.56317
417,938.9907
418,276.15234
419,195.98215
420,606.1934
421,744.2672
422,556.7771
423,1038.3126
424,915.07715
425,254.83112
426,409.7354
427,406.86655
428,697.0448
429,857.0067
430,948.2878
431,242.66492
432,1044.5912
433,287.91327
434,1330.0737
435,283.30692
436,209.56061
437,1119.3417
438,736.3252
439,161.51154
440,839.11456
441,1169.1179
442,844.22095
443,228.1435
444,1112.4929
445,725.70483
446,994.8983
447,482.07144
448,1265.537
449,401.8625
450,296.95312
451,600.2844
452,721.8716
453,1359.006
454,903.6133
455,416.13544
456,842.90186
457,603.527
458,1141.9979
459,987.7065
460,253.64453
461,367.25146
462,653.2079
463,231.57326
464,766.7723
465,535.4397
466,1442.8884
467,306.13937
468,605.91144
469,567.2555
470,656.4794
471,753.52576
472,870.83936
473,530.67236
474,542.2088
475,506.05194
476,174.08452
477,832.4065
478,1067.0725
479,350.81824
480,897.115
481,713.18164
482,920.4804
483,528.78906
484,772.17096
485,997.57043
486,920.74744
487,1132.1056
488,1282.4594
489,893.51526
490,552.91187
491,1410.544
492,687.752
493,272.74152
494,746.6657
495,511.7485
496,378.89594
497,665.79224
498,461.94968
499,1501.9598
500,1277.0082
501,99.94785
502,523.50195
503,149.21997
504,233.86247
505,463.21863
506,323.06903
507,535.1779
508,895.3855
509,1190.7908
510,93.30006
511,309.5144
512,429.43872
513,1134.6227
514,567.3694
515,639.1219
516,720.99866
517,556.7788
518,369.34674
519,834.7672
520,522.0051
521,309.6189
522,474.33893
523,461.13522
524,249.13089
525,670.3458
526,779.1598
527,289.35773
528,549.08057
529,220.56831
530,465.98956
531,1019.2518
532,386.10278
533,296.88733
534,582.72156
535,1507.0092
536,653.4545
537,967.1313
538,717.5895
539,608.1399
540,282.26135
541,910.3976
542,1584.192
543,875.0865
544,589.8585
545,450.5063
